"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0.8406,-0.0197315435798,0.129318614199,-0.0184579158667,-0.036748649436,0.0941894575953
0.8408,-0.0197315435798,0.0188099802472,-0.0922895793337,-0.036748649436,0.0941894575953
0.841,-0.0197315435798,0.091698653705,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8412,-0.0548098432773,0.0188099802472,-0.0553737476002,-0.036748649436,0.0941894575953
0.8414,-0.0197315435798,0.0540786932106,-0.0184579158667,-0.036748649436,0.0941894575953
0.8416,-0.0197315435798,0.0188099802472,-0.0553737476002,-0.036748649436,-0.259021008387
0.8418,0.0153467561177,0.0540786932106,0.0161506763834,-0.036748649436,0.0941894575953
0.842,-0.0197315435798,0.0188099802472,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8422,-0.0548098432773,0.0188099802472,0.0530665081169,-0.036748649436,-0.259021008387
0.8424,-0.0197315435798,0.0188099802472,-0.0184579158667,-0.036748649436,0.0941894575953
0.8426,-0.0197315435798,0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.8428,-0.0197315435798,0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.843,0.0153467561177,-0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8432,0.118389261479,-0.0188099802472,-0.0184579158667,-0.00216168526094,0.0941894575953
0.8434,0.0153467561177,-0.0564299407415,0.0899823398504,-0.00216168526094,0.0941894575953
0.8436,-0.0548098432773,-0.0564299407415,-0.0184579158667,-0.00216168526094,0.0941894575953
0.8438,0.0153467561177,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.844,-0.0197315435798,-0.0564299407415,-0.0184579158667,-0.036748649436,0.0941894575953
0.8442,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.036748649436,0.0941894575953
0.8444,0.0153467561177,-0.0564299407415,0.0161506763834,-0.00216168526094,0.0941894575953
0.8446,-0.0548098432773,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.8448,0.0153467561177,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.845,-0.0197315435798,-0.0940499012358,0.0161506763834,-0.00216168526094,0.0941894575953
0.8452,-0.0197315435798,-0.0564299407415,0.0530665081169,-0.036748649436,-0.259021008387
0.8454,0.0153467561177,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8456,0.153467561177,-0.0940499012358,0.0530665081169,-0.036748649436,-0.259021008387
0.8458,0.048232662084,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.846,-0.0197315435798,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8462,0.0153467561177,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8464,0.048232662084,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8466,0.048232662084,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8468,0.0833109617815,-0.13166986173,0.0530665081169,-0.036748649436,0.0941894575953
0.847,-0.0197315435798,-0.0940499012358,0.0161506763834,-0.0713356136112,0.0941894575953
0.8472,0.048232662084,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8474,0.0153467561177,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8476,0.048232662084,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8478,0.048232662084,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.848,0.188545860874,-0.0940499012358,0.0530665081169,-0.00216168526094,0.0941894575953
0.8482,0.0833109617815,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8484,0.0153467561177,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8486,0.0153467561177,-0.0940499012358,0.0530665081169,-0.00216168526094,-0.259021008387
0.8488,0.048232662084,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.849,0.0153467561177,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8492,0.0833109617815,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8494,-0.0197315435798,-0.0940499012358,-0.0184579158667,-0.00216168526094,0.0941894575953
0.8496,0.0833109617815,-0.0564299407415,0.0530665081169,-0.00216168526094,0.0941894575953
0.8498,0.0153467561177,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.85,0.048232662084,-0.0564299407415,0.0899823398504,-0.036748649436,0.0941894575953
0.8502,0.048232662084,-0.0564299407415,0.0530665081169,-0.00216168526094,0.0941894575953
0.8504,0.118389261479,0.0188099802472,0.0899823398504,-0.00216168526094,0.0941894575953
0.8506,0.048232662084,-0.0564299407415,0.0530665081169,-0.00216168526094,0.0941894575953
0.8508,-0.0197315435798,-0.0188099802472,0.0899823398504,-0.00216168526094,-0.259021008387
0.851,0.048232662084,-0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8512,0.0153467561177,-0.0188099802472,0.0899823398504,-0.00216168526094,0.0941894575953
0.8514,0.0153467561177,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8516,0.0833109617815,-0.0564299407415,0.126898171584,-0.036748649436,0.0941894575953
0.8518,0.0153467561177,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.852,0.048232662084,-0.0564299407415,0.126898171584,-0.00216168526094,0.0941894575953
0.8522,0.0153467561177,-0.0188099802472,0.0530665081169,-0.00216168526094,-0.259021008387
0.8524,0.0153467561177,0.0188099802472,0.126898171584,-0.036748649436,0.0941894575953
0.8526,0.0833109617815,-0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8528,0.048232662084,0.0188099802472,0.126898171584,-0.00216168526094,-0.259021008387
0.853,0.0153467561177,0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8532,-0.0197315435798,-0.0188099802472,0.0899823398504,-0.00216168526094,0.0941894575953
0.8534,0.0153467561177,0.0188099802472,0.0530665081169,-0.036748649436,-0.259021008387
0.8536,-0.0197315435798,0.0188099802472,0.0899823398504,-0.036748649436,0.0941894575953
0.8538,-0.0197315435798,0.0188099802472,0.0530665081169,0.0324252789142,0.0941894575953
0.854,0.0153467561177,0.0188099802472,0.126898171584,0.0324252789142,-0.259021008387
0.8542,0.048232662084,-0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8544,-0.0197315435798,0.0188099802472,0.126898171584,-0.00216168526094,0.0941894575953
0.8546,-0.0197315435798,0.0188099802472,0.0530665081169,-0.00216168526094,-0.259021008387
0.8548,-0.0197315435798,0.0188099802472,0.126898171584,-0.00216168526094,0.0941894575953
0.855,-0.0197315435798,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8552,-0.0197315435798,0.0540786932106,0.163814003317,-0.00216168526094,0.0941894575953
0.8554,0.0153467561177,0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8556,-0.0548098432773,0.0188099802472,0.163814003317,0.0324252789142,0.0941894575953
0.8558,-0.0197315435798,0.0540786932106,0.0530665081169,-0.00216168526094,-0.259021008387
0.856,-0.0197315435798,0.0188099802472,0.126898171584,-0.036748649436,0.0941894575953
0.8562,-0.0197315435798,0.0188099802472,0.0530665081169,0.0324252789142,0.0941894575953
0.8564,-0.0197315435798,0.0188099802472,0.126898171584,-0.036748649436,-0.259021008387
0.8566,0.118389261479,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8568,-0.0197315435798,0.0188099802472,0.126898171584,0.0324252789142,0.0941894575953
0.857,-0.0548098432773,0.0188099802472,0.0530665081169,-0.00216168526094,-0.259021008387
0.8572,-0.0197315435798,0.0188099802472,0.126898171584,0.0324252789142,0.0941894575953
0.8574,-0.0197315435798,0.0188099802472,0.0530665081169,0.0324252789142,0.0941894575953
0.8576,-0.0197315435798,0.0188099802472,0.126898171584,0.0324252789142,0.0941894575953
0.8578,-0.0197315435798,0.0188099802472,0.0530665081169,0.0324252789142,0.0941894575953
0.858,-0.0898881429748,0.0188099802472,0.0899823398504,0.0324252789142,-0.259021008387
0.8582,-0.0197315435798,0.0188099802472,0.0530665081169,0.0324252789142,0.0941894575953
0.8584,-0.0548098432773,0.0188099802472,0.0899823398504,0.0324252789142,0.0941894575953
0.8586,-0.0548098432773,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8588,-0.0548098432773,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.859,0.0833109617815,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8592,-0.0548098432773,0.0188099802472,0.0530665081169,-0.00216168526094,-0.259021008387
0.8594,-0.0898881429748,0.0188099802472,0.0161506763834,-0.00216168526094,0.0941894575953
0.8596,-0.0548098432773,0.0188099802472,0.0530665081169,0.0324252789142,-0.259021008387
0.8598,-0.0548098432773,-0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.86,-0.0898881429748,0.0540786932106,0.0530665081169,-0.00216168526094,0.0941894575953
0.8602,-0.0548098432773,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8604,-0.124966442672,0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.8606,-0.0548098432773,-0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8608,-0.0548098432773,-0.0188099802472,0.0530665081169,-0.036748649436,-0.259021008387
0.861,-0.0548098432773,0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.8612,-0.0197315435798,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8614,0.118389261479,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8616,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.036748649436,-0.259021008387
0.8618,-0.0548098432773,-0.0564299407415,0.0161506763834,-0.0713356136112,-0.259021008387
0.862,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.036748649436,0.0941894575953
0.8622,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.00216168526094,-0.259021008387
0.8624,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.0713356136112,0.0941894575953
0.8626,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.8628,-0.0898881429748,-0.0564299407415,0.0161506763834,-0.00216168526094,0.0941894575953
0.863,-0.0197315435798,-0.0564299407415,-0.0184579158667,-0.036748649436,0.0941894575953
0.8632,-0.0197315435798,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.8634,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,-0.259021008387
0.8636,0.0153467561177,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8638,0.0833109617815,-0.0564299407415,0.0161506763834,-0.00216168526094,0.0941894575953
0.864,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.036748649436,0.0941894575953
0.8642,-0.0548098432773,-0.0564299407415,0.0161506763834,-0.0713356136112,0.0941894575953
0.8644,-0.0197315435798,-0.0564299407415,0.0899823398504,-0.036748649436,0.0941894575953
0.8646,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.8648,-0.0548098432773,-0.0940499012358,0.0530665081169,-0.036748649436,0.0941894575953
0.865,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,-0.259021008387
0.8652,-0.0548098432773,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8654,-0.0197315435798,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8656,-0.0197315435798,-0.0564299407415,0.0530665081169,-0.036748649436,-0.259021008387
0.8658,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,-0.259021008387
0.866,-0.0197315435798,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8662,0.0833109617815,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.8664,-0.0197315435798,-0.0564299407415,0.0530665081169,-0.00216168526094,-0.259021008387
0.8666,-0.0548098432773,-0.0564299407415,-0.0184579158667,-0.036748649436,0.0941894575953
0.8668,0.0153467561177,-0.0564299407415,0.0530665081169,-0.036748649436,0.0941894575953
0.867,-0.0197315435798,-0.0940499012358,-0.0184579158667,-0.036748649436,0.0941894575953
0.8672,-0.0197315435798,-0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8674,0.0153467561177,-0.0564299407415,-0.0553737476002,-0.036748649436,0.0941894575953
0.8676,-0.0197315435798,-0.0940499012358,0.0161506763834,-0.036748649436,0.0941894575953
0.8678,0.048232662084,-0.0564299407415,-0.0184579158667,-0.036748649436,0.0941894575953
0.868,-0.0197315435798,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.8682,0.0153467561177,-0.0564299407415,0.0161506763834,-0.036748649436,0.0941894575953
0.8684,0.0833109617815,-0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.8686,0.048232662084,-0.0564299407415,0.0161506763834,-0.00216168526094,0.0941894575953
0.8688,0.0153467561177,-0.0188099802472,0.0161506763834,-0.036748649436,-0.259021008387
0.869,-0.0197315435798,-0.0564299407415,-0.0184579158667,0.0324252789142,0.0941894575953
0.8692,0.0833109617815,0.0188099802472,0.0161506763834,-0.00216168526094,-0.259021008387
0.8694,0.0153467561177,-0.0188099802472,0.0161506763834,-0.00216168526094,0.0941894575953
0.8696,0.0153467561177,0.0188099802472,0.0161506763834,-0.00216168526094,0.0941894575953
0.8698,0.0153467561177,0.0188099802472,-0.0184579158667,-0.00216168526094,-0.259021008387
0.87,0.153467561177,0.0188099802472,0.0161506763834,-0.036748649436,-0.259021008387
0.8702,0.048232662084,-0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.8704,-0.0197315435798,0.0188099802472,0.0161506763834,-0.00216168526094,0.0941894575953
0.8706,0.0153467561177,0.0188099802472,0.0161506763834,-0.036748649436,-0.259021008387
0.8708,0.048232662084,0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.871,0.0153467561177,0.0540786932106,0.0530665081169,-0.00216168526094,0.0941894575953
0.8712,0.0153467561177,0.0188099802472,0.0161506763834,-0.036748649436,-0.259021008387
0.8714,-0.0548098432773,0.0188099802472,0.0530665081169,-0.036748649436,0.0941894575953
0.8716,0.0153467561177,0.0188099802472,0.0530665081169,-0.00216168526094,0.0941894575953
0.8718,-0.0197315435798,0.0188099802472,0.0161506763834,-0.036748649436,0.0941894575953
0.872,-0.0197315435798,0.0540786932106,0.0530665081169,-0.036748649436,0.0941894575953
0.8722,0.0153467561177,0.0188099802472,-0.0184579158667,-0.00216168526094,0.0941894575953
0.8724,0.188545860874,0.0188099802472,0.0161506763834,-0.036748649436,-0.259021008387
0.8726,0.048232662084,0.0188099802472,-0.0184579158667,-0.036748649436,-0.259021008387
0.8728,-0.0197315435798,0.0188099802472,0.0161506763834,-0.00216168526094,0.0941894575953
0.873,0.0153467561177,0.0188099802472,-0.0553737476002,0.0324252789142,0.0941894575953
0.8732,0.0153467561177,0.0540786932106,0.0161506763834,0.0324252789142,-0.259021008387
0.8734,-0.0197315435798,0.091698653705,0.0161506763834,0.0324252789142,-0.259021008387
0.8736,0.0153467561177,0.0540786932106,0.0161506763834,-0.036748649436,-0.259021008387
0.8738,-0.0898881429748,0.0540786932106,0.0161506763834,0.0324252789142,-0.259021008387
0.874,0.0153467561177,0.0540786932106,0.0161506763834,-0.00216168526094,0.0941894575953
0.8742,-0.0197315435798,0.0540786932106,0.0161506763834,-0.00216168526094,0.0941894575953
0.8744,-0.0548098432773,0.091698653705,0.0530665081169,-0.00216168526094,0.0941894575953
0.8746,-0.0197315435798,0.0540786932106,0.0161506763834,0.0324252789142,0.0941894575953
0.8748,0.118389261479,0.091698653705,0.0530665081169,-0.00216168526094,0.0941894575953
0.875,-0.0197315435798,0.0540786932106,0.0530665081169,-0.036748649436,0.0941894575953
0.8752,-0.0898881429748,0.091698653705,0.0161506763834,-0.00216168526094,-0.259021008387
0.8754,-0.0197315435798,0.091698653705,0.0161506763834,0.0324252789142,0.0941894575953
0.8756,-0.0197315435798,0.091698653705,0.0161506763834,0.0324252789142,0.0941894575953
0.8758,-0.0548098432773,0.091698653705,0.0161506763834,0.0324252789142,-0.259021008387
0.876,-0.0197315435798,0.091698653705,0.0161506763834,-0.00216168526094,0.0941894575953
0.8762,-0.0898881429748,0.091698653705,-0.0553737476002,-0.036748649436,0.0941894575953
0.8764,0.0153467561177,0.0540786932106,-0.0184579158667,-0.00216168526094,0.0941894575953
0.8766,-0.0197315435798,0.0540786932106,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8768,-0.0197315435798,0.091698653705,-0.0184579158667,-0.00216168526094,0.0941894575953
0.877,-0.0197315435798,0.0540786932106,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8772,0.118389261479,0.129318614199,0.0161506763834,-0.036748649436,0.0941894575953
0.8774,0.0153467561177,0.0540786932106,-0.0553737476002,-0.036748649436,-0.259021008387
0.8776,-0.0197315435798,0.091698653705,-0.0184579158667,-0.036748649436,0.0941894575953
0.8778,0.0153467561177,0.091698653705,-0.0553737476002,-0.00216168526094,0.0941894575953
0.878,0.0153467561177,0.091698653705,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8782,-0.0197315435798,0.091698653705,-0.0553737476002,-0.00216168526094,-0.259021008387
0.8784,0.048232662084,0.091698653705,-0.0922895793337,-0.036748649436,0.0941894575953
0.8786,0.0833109617815,0.0540786932106,-0.0922895793337,-0.00216168526094,0.0941894575953
0.8788,0.048232662084,0.091698653705,-0.0553737476002,-0.00216168526094,-0.259021008387
0.879,-0.0197315435798,0.091698653705,-0.0922895793337,-0.036748649436,0.0941894575953
0.8792,0.0153467561177,0.091698653705,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8794,0.0153467561177,0.091698653705,-0.0922895793337,-0.00216168526094,0.0941894575953
0.8796,0.048232662084,0.129318614199,-0.0184579158667,-0.036748649436,0.0941894575953
0.8798,0.0153467561177,0.091698653705,-0.0553737476002,-0.036748649436,0.0941894575953
0.88,-0.0548098432773,0.091698653705,-0.0184579158667,-0.00216168526094,-0.259021008387
0.8802,-0.0197315435798,0.091698653705,-0.0553737476002,-0.036748649436,0.0941894575953
0.8804,0.0153467561177,0.091698653705,-0.0553737476002,-0.00216168526094,0.0941894575953
0.8806,-0.0197315435798,0.091698653705,-0.0184579158667,0.0324252789142,0.0941894575953
